품목,구매일자,사용부서,등록일시
스모크-완료검증,2026-08-08,총무팀,2026-08-08 02:28:21.271383+00
수술장갑 7.5호,2026-04-15,수술실,2026-08-08 02:39:05.326699+00
무선 AP 2대,2026-04-10,IT팀,2026-08-08 02:39:04.973352+00
CT 테이블 시트,2026-04-08,영상의학과,2026-08-08 02:39:02.300552+00
간호기록지 양식,2026-04-02,간호부,2026-08-08 02:39:02.300552+00
소독제 5L,2026-03-30,수술실,2026-08-08 02:39:05.326699+00
UPS 배터리 교체,2026-03-27,IT팀,2026-08-08 02:39:04.973352+00
화장실 핸드타월,2026-03-21,시설관리팀,2026-08-08 02:39:04.973352+00
정맥카테터 세트,2026-03-18,간호부,2026-08-08 02:38:53.887459+00
방어 에이프런 점검키트,2026-03-14,영상의학과,2026-08-08 02:39:02.300552+00
SSD 1TB 업무용,2026-03-12,IT팀,2026-08-08 02:39:04.973352+00
접수창구 안내판,2026-03-09,원무과,2026-08-08 02:39:02.300552+00
냉장보관 온도로거,2026-03-06,약국,2026-08-08 02:39:05.326699+00
명함 인쇄 200매,2026-03-05,총무팀,2026-08-08 02:38:53.887459+00
봉합사 세트,2026-03-03,수술실,2026-08-08 02:39:05.326699+00
혈압계 커프 교체,2026-03-01,간호부,2026-08-08 02:38:53.887459+00
에어컨 필터 10매,2026-02-28,시설관리팀,2026-08-08 02:39:04.973352+00
초음파 젤 5L,2026-02-25,영상의학과,2026-08-08 02:39:02.300552+00
서류철 A4 20개,2026-02-20,총무팀,2026-08-08 02:38:53.887459+00
노트북 도킹스테이션,2026-02-18,IT팀,2026-08-08 02:39:04.973352+00
카드단말기 용지,2026-02-16,원무과,2026-08-08 02:39:02.300552+00
수술 드레이프 세트,2026-02-14,수술실,2026-08-08 02:39:05.326699+00
약봉투 소형 500매,2026-02-12,약국,2026-08-08 02:39:05.326699+00
체온계 프로브 커버,2026-02-11,간호부,2026-08-08 02:38:53.887459+00
소화기 점검 충전,2026-02-09,시설관리팀,2026-08-08 02:39:04.973352+00
X-ray 보호필름,2026-02-07,영상의학과,2026-08-08 02:39:02.300552+00
스테이플러 침,2026-02-03,총무팀,2026-08-08 02:38:53.887459+00
Cat6 UTP 케이블 박스,2026-02-01,IT팀,2026-08-08 02:39:04.973352+00
대기번호표 롤지,2026-01-28,원무과,2026-08-08 02:39:02.300552+00
수술용 가운 L,2026-01-25,수술실,2026-08-08 02:39:05.326699+00
알코올 스왑 200매,2026-01-22,간호부,2026-08-08 02:38:53.887459+00
형광등 LED 교체세트,2026-01-20,시설관리팀,2026-08-08 02:39:04.973352+00
약포장지 롤,2026-01-16,약국,2026-08-08 02:39:05.326699+00
볼펜 세트(검정 12본),2026-01-15,총무팀,2026-08-08 02:38:53.887459+00
네트워크 스위치 24포트,2026-01-14,IT팀,2026-08-08 02:39:04.973352+00
조영제 주입세트,2026-01-12,영상의학과,2026-08-08 02:39:02.300552+00
일회용 장갑 M 100매,2026-01-10,간호부,2026-08-08 02:38:53.887459+00
진료비 영수증용지,2026-01-09,원무과,2026-08-08 02:39:02.300552+00
A4 복사용지 500매,2026-01-08,총무팀,2026-08-08 02:38:53.887459+00
